measure,quantile,time,sex,age,ethnic,value
lx,50%,2017-19,Female,19 years,Total,99296
lx,50%,2017-19,Female,20 years,Total,99261
lx,50%,2017-19,Female,21 years,Total,99224
lx,50%,2017-19,Female,22 years,Total,99186
lx,50%,2017-19,Female,23 years,Total,99147
lx,50%,2017-19,Female,24 years,Total,99108
lx,50%,2017-19,Female,25 years,Total,99069
lx,50%,2017-19,Female,26 years,Total,99032
lx,50%,2017-19,Female,27 years,Total,98994
lx,50%,2017-19,Female,28 years,Total,98957
lx,50%,2017-19,Female,29 years,Total,98919
lx,50%,2017-19,Female,30 years,Total,98880
lx,50%,2017-19,Female,31 years,Total,98839
lx,50%,2017-19,Female,32 years,Total,98796
lx,50%,2017-19,Female,33 years,Total,98749
lx,50%,2017-19,Female,34 years,Total,98699
lx,50%,2017-19,Female,35 years,Total,98647
lx,50%,2017-19,Female,36 years,Total,98592
lx,50%,2017-19,Female,37 years,Total,98535
lx,50%,2017-19,Female,38 years,Total,98474
lx,50%,2017-19,Female,39 years,Total,98407
lx,50%,2017-19,Female,40 years,Total,98335
lx,50%,2017-19,Female,41 years,Total,98258
lx,50%,2017-19,Female,42 years,Total,98176
lx,50%,2017-19,Female,43 years,Total,98086
lx,50%,2017-19,Female,44 years,Total,97987
lx,50%,2017-19,Female,45 years,Total,97879
lx,50%,2017-19,Female,46 years,Total,97757
lx,50%,2017-19,Female,47 years,Total,97625
lx,50%,2017-19,Female,48 years,Total,97481
lx,50%,2017-19,Female,49 years,Total,97321
lx,50%,2017-19,Female,50 years,Total,97147
lx,50%,2017-19,Female,51 years,Total,96954
lx,50%,2017-19,Female,52 years,Total,96741
lx,50%,2017-19,Female,53 years,Total,96504
lx,50%,2017-19,Female,54 years,Total,96253
lx,50%,2017-19,Female,55 years,Total,95985
lx,50%,2017-19,Female,56 years,Total,95697
lx,50%,2017-19,Female,57 years,Total,95392
lx,50%,2017-19,Female,58 years,Total,95056
lx,50%,2017-19,Female,59 years,Total,94691
lx,50%,2017-19,Female,60 years,Total,94297
lx,50%,2017-19,Female,61 years,Total,93875
lx,50%,2017-19,Female,62 years,Total,93430
lx,50%,2017-19,Female,63 years,Total,92934
lx,50%,2017-19,Female,64 years,Total,92376
lx,50%,2017-19,Female,65 years,Total,91775
lx,50%,2017-19,Female,66 years,Total,91135
lx,50%,2017-19,Female,67 years,Total,90423
lx,50%,2017-19,Female,68 years,Total,89670
lx,50%,2017-19,Female,69 years,Total,88857
lx,50%,2017-19,Female,70 years,Total,87961
lx,50%,2017-19,Female,71 years,Total,87022
lx,50%,2017-19,Female,72 years,Total,85981
lx,50%,2017-19,Female,73 years,Total,84736
lx,50%,2017-19,Female,74 years,Total,83367
lx,50%,2017-19,Female,75 years,Total,81871
lx,50%,2017-19,Female,76 years,Total,80208
lx,50%,2017-19,Female,77 years,Total,78488
lx,50%,2017-19,Female,78 years,Total,76646
lx,50%,2017-19,Female,79 years,Total,74527
lx,50%,2017-19,Female,80 years,Total,72170
lx,50%,2017-19,Female,81 years,Total,69544
lx,50%,2017-19,Female,82 years,Total,66667
lx,50%,2017-19,Female,83 years,Total,63536
lx,50%,2017-19,Female,84 years,Total,60185
lx,50%,2017-19,Female,85 years,Total,56557
lx,50%,2017-19,Female,86 years,Total,52634
lx,50%,2017-19,Female,87 years,Total,48409
lx,50%,2017-19,Female,88 years,Total,43950
lx,50%,2017-19,Female,89 years,Total,39343
lx,50%,2017-19,Female,90 years,Total,34671
lx,50%,2017-19,Female,91 years,Total,30029
lx,50%,2017-19,Female,92 years,Total,25528
lx,50%,2017-19,Female,93 years,Total,21267
lx,50%,2017-19,Female,94 years,Total,17343
lx,50%,2017-19,Female,95 years,Total,13828
lx,50%,2017-19,Female,96 years,Total,10762
lx,50%,2017-19,Female,97 years,Total,8166
lx,50%,2017-19,Female,98 years,Total,6031
lx,50%,2017-19,Female,99 years,Total,4329
lx,50%,2017-19,Female,100 years,Total,3014
lx,50%,2017-19,Female,101 years,Total,2034
lx,50%,2017-19,Female,102 years,Total,1328
lx,50%,2017-19,Female,103 years,Total,836
lx,50%,2017-19,Female,104 years,Total,506
lx,50%,2017-19,Female,105 years,Total,294
lx,50%,2017-19,Male,0 years,Total,100000
lx,50%,2017-19,Male,1 years,Total,99514
